System,Start,End,Region,Latitude,Longitude,Historical Epoch,Evidence Strength,Characteristics,Governance Type,Belief System,Gender Roles,Economic Base,Succession Method,Collapse Cause,Recorded By,sovereignty_index,admin_index,competitive_politics_index,exit_freedom,disobedience_freedom,arrangement_freedom,surplus_legibility,info_infrastructure,seasonality,binding_mechanism,scale_population,scale_territory,collapse_mode,gw_discussed,coding_confidence,notes
Cahokia Birdman Dynasty,1050,1350,USA,38.7,-90.1,Medieval,4,Mississippian city ruled via celestial mound rituals,Astro-Theocracy,Mississippian religion,Male priest-kings,Maize/copper,Hereditary,Drought,Archaeology,0.65,0.5,0.35,0.25,0.1,0.1,0.4,0.35,low,ritual,3,3,climate,False,1,Auto-coded from governance type/characteristics — requires human review
Norman Feudal Domesday,1086,1154,England,51.5,-0.1,Medieval,5,Centralized land census enforcing knight-service quotas,Bureaucratic Feudalism,Catholicism,Male barons,Wool tax,Appointment,Anarchy,William I,0.7,0.85,0.4,0.15,0.15,0.25,0.4,0.3,low,land,3,3,unknown,False,1,Auto-coded from governance type/characteristics — requires human review
Cuman Tribal Federations,1100,1241,Ukraine,48,33,Medieval,3,Nomadic confederation with stone statue legislatures,Equestrian Democracy,Tengrism,Gender-mixed,Horse breeding,Consensus,Mongol conquest,Rubruck,0.2,0.4,0.65,0.65,0.9,0.6,0.4,0.3,high,none,3,3,conquest,False,1,Auto-coded from governance type/characteristics — requires human review
Great Zimbabwe Rain Priests,1100,1450,Zimbabwe,-20.3,30.9,Medieval,4,Stone-city astronomers controlling monsoon rituals,Architectural Theocracy,Mwari cult,Male priests,Gold/cattle,Hereditary,Drought,Archaeology,0.65,0.5,0.35,0.25,0.1,0.1,0.4,0.3,low,ritual,3,3,climate,False,1,Auto-coded from governance type/characteristics — requires human review
Frisian Sea-Law Tribunals,1100,1600,Netherlands,53.2,5.8,Medieval,4,Maritime judges applying tidal flat customary law,Hydraulic Jurisprudence,Christianity,Gender-neutral,Fishing/Dikes,Election,Habsburg centralization,Frisian codes,0.4,0.4,0.5,0.55,0.6,0.6,0.2,0.3,low,none,3,3,unknown,False,1,Auto-coded from governance type/characteristics — requires human review
Kanem-Bornu Sufi Knights,1100,1846,Chad,13.1,14.7,Medieval,4,Camel cavalry enforcing Quranic law in Sahel,Islamic Stratocracy,Sufi Islam,Male scholars,Salt/slaves,Appointment,Fulani jihad,Ibn Battuta,0.8,0.4,0.35,0.15,0.15,0.2,0.4,0.6,low,coercion,3,3,unknown,False,1,Auto-coded from governance type/characteristics — requires human review
Mossi Naam Militias,1100,1896,Burkina Faso,12.4,-1.5,Medieval,3,Age-grade warrior societies electing sacred kings,Gerontocratic Militarism,African traditional,Male cohorts,Millet/cattle,Rotation,French conquest,French reports,0.4,0.3,0.4,0.5,0.5,0.4,0.4,0.3,low,none,3,3,conquest,False,1,Auto-coded from governance type/characteristics — requires human review
Maldivian Furya Coral Councils,1100,1968,Maldives,3.2,73.2,Medieval,3,Coral-stone mosques as maritime law centers,Islamic Atoll Democracy,Sunni Islam,Gender-mixed,Sea cucumber trade,Consensus,British protectorate,Ibn Battuta,0.2,0.4,0.65,0.65,0.9,0.75,0.5,0.15,low,none,3,3,unknown,False,1,Auto-coded from governance type/characteristics — requires human review
Pueblo Kiva Councils,1100,Present,USA,35,-106,Medieval,4,Underground chamber debates for agricultural planning,Theocratic Democracy,Pueblo religion,Gender-segregated,Maize/beans,Consensus,Drought,Ethnography,0.2,0.4,0.65,0.65,0.9,0.75,0.4,0.15,low,none,3,3,ongoing,False,1,Auto-coded from governance type/characteristics — requires human review
Romani Kris Councils,1100,Present,Europe,45,15,Medieval-Modern,4,Traveling courts enforcing oral law through consensus,Nomadic Jurisprudence,Romani Hinduism,Gender-separate,Crafts/trade,Appointment,Persecution,Ethnography,0.35,0.1,0.5,0.85,0.7,0.75,0.5,0.15,high,none,3,3,ongoing,False,1,Auto-coded from governance type/characteristics — requires human review
Venetian Arsenal Guilds,1104,1797,Italy,45.4,12.3,Medieval,5,State-run shipyard with worker-patriot collectives,Industrial Corporatism,Catholicism,Male artisans,Naval production,Promotion,Napoleon,Doge's decrees,0.4,0.3,0.4,0.5,0.5,0.6,0.4,0.3,low,none,3,3,unknown,False,1,Auto-coded from governance type/characteristics — requires human review
Khmer Water Mandala,1113,1177,Cambodia,13.4,103.8,Medieval,5,Hydraulic city-temple network under god-kings,Hydro-Theocracy,Hindu-Buddhism,Male engineers,Rice farming,Hereditary,Cham invasion,Zhou Daguan,0.65,0.5,0.35,0.25,0.1,0.1,0.4,0.3,low,none,3,3,conquest,False,1,Auto-coded from governance type/characteristics — requires human review
Novgorod Veche Republic,1136,1478,Russia,58.5,31.3,Medieval,4,Bell-summoned merchant assemblies with birchbark voting,Urban Democracy,Orthodox Christianity,Male landowners,Fur/beeswax,Election,Muscovite conquest,Chronicles,0.2,0.4,0.65,0.65,0.9,0.8,0.4,0.3,low,none,3,3,conquest,False,1,Auto-coded from governance type/characteristics — requires human review
Haudenosaunee (Iroquois) Great Law of Peace,1142,Present,North America,43.1,-77.6,Medieval,5,Matrilineal confederacy requiring unanimous decisions,Participatory Confederation,Longhouse Religion,Female clan heads,Maize/beans,Consensus,Colonial pressures,Deganawidah Epic,0.35,0.2,0.5,0.65,0.75,0.7,0.4,0.3,low,none,3,3,ongoing,True,1,Auto-coded from governance type/characteristics — requires human review
Cathar Perfecti Councils,1150,1325,France,43.6,1.4,Medieval,2,Dualist heretic communes with gender-equal clergy,Egalitarian Theocracy,Catharism,Gender-balanced,Viticulture,Initiation,Crusader extermination,Inquisition records,0.65,0.5,0.35,0.25,0.25,0.1,0.4,0.3,low,none,3,3,unknown,False,1,Auto-coded from governance type/characteristics — requires human review
Hanseatic Kontor,1200,1500,England/Germany,51.5,0.1,Medieval,4,German merchant enclaves with extraterritorial privileges,Commercial Autonomy,Catholicism,Male merchants,Wool/beer,Election,Nation-states,Adam of Bremen,0.4,0.55,0.6,0.55,0.6,0.6,0.4,0.3,low,none,3,3,unknown,False,1,Auto-coded from governance type/characteristics — requires human review
Bavarian Beer Hall Communes,1200,1800,Germany,48.1,11.6,Medieval,3,Municipal breweries as de facto civic governments,Brewery Corporatism,Catholicism,Male burghers,Barley trade,Appointment,Napoleonic reforms,City archives,0.4,0.3,0.4,0.5,0.5,0.6,0.5,0.3,low,none,3,3,transition,False,1,Auto-coded from governance type/characteristics — requires human review
Javanese Kabuyutan Councils,1200,1800,Indonesia,-7.6,110.7,Medieval,3,Hindu-Buddhist forest universities as policy hubs,Scholastic Oligarchy,Hindu-Buddhism,Male scholars,Rice farming,Co-optation,Dutch colonialism,Nagarakretagama,0.5,0.45,0.55,0.4,0.35,0.45,0.4,0.6,low,none,3,3,colonial disruption,False,1,Auto-coded from governance type/characteristics — requires human review
Kven Arctic Trader Networks,1200,1800,Norway/Finland,70,28,Medieval,2,Sami-Norse hybrid traders governing winter routes,Bilingual Meritocracy,Syncretic,Gender-mixed,Fur/fish,Apprenticeship,State borders,Oral history,0.4,0.3,0.4,0.5,0.5,0.5,0.4,0.15,medium,none,3,3,unknown,False,1,Auto-coded from governance type/characteristics — requires human review
Rapa Iti Tūtae Councils,1200,1860,French Polynesia,-27.6,-144.3,Medieval,2,Bird-guano fertilizer collectives governing tiny islands,Guano Egalitarianism,Polynesian religion,Gender-balanced,Fishing,Rotation,French conquest,Ethnography,0.4,0.3,0.4,0.5,0.5,0.4,0.2,0.3,low,land,3,3,conquest,False,1,Auto-coded from governance type/characteristics — requires human review
Rapa Nui Tangata Manu Trials,1200,1862,Chile,-27.1,-109.4,Medieval,3,Annual birdman competitions for clan leadership,Ritual Meritocracy,Birdman cult,Male competitors,Sweet potatoes,Competition,Slave raids,Ethnography,0.4,0.3,0.4,0.5,0.5,0.4,0.4,0.3,low,ritual,3,3,unknown,False,1,Auto-coded from governance type/characteristics — requires human review
Rapa Nui Birdman Cult,1200,1862,Easter Island,-27.1,-109.4,Medieval,3,Annual competition for clan leadership via egg hunting,Ritual Meritocracy,Makemake religion,Male competitors,Sweet potatoes,Competition,Slave raids,Ethnography,0.4,0.3,0.4,0.5,0.5,0.4,0.4,0.3,low,ritual,3,3,unknown,False,1,Auto-coded from governance type/characteristics — requires human review
Benin Oba Eweka Dynasty,1200,1897,Nigeria,6.3,5.6,Medieval,4,West African sacred kingship with guild bureaucracy,Palace Bureaucracy,Edo religion,Male obas,Bronze casting,Hereditary,British invasion,Bronze plaques,0.7,0.85,0.4,0.15,0.0,0.25,0.4,0.3,low,none,3,3,conquest,False,1,Auto-coded from governance type/characteristics — requires human review
Benin Oba Divine Kingship,1200,1897,Nigeria,6.3,5.6,Medieval,5,Sacred monarchy with guild-based bronze bureaucracy,Theocratic Bureaucracy,Benin religion,Male obas,Ivory/Bronze,Hereditary,British invasion,Bronze plaques,0.75,0.45,0.3,0.2,0.05,0.3,0.4,0.3,low,none,3,3,conquest,False,1,Auto-coded from governance type/characteristics — requires human review
Evenk Tungus Clan Federations,1200,1920,Russia,55,125,Medieval,3,Mobile taiga hunters with birchbark treaty systems,Forest Band Democracy,Shamanism,Gender-balanced,Fur trade,Consensus,Chinese expansion,Russian archives,0.2,0.4,0.65,0.65,0.9,0.7,0.5,0.3,low,none,1,2,unknown,False,1,Auto-coded from governance type/characteristics — requires human review
Alpine Pastoral Communes,1200,Present,Switzerland/Austria,46.5,8.6,Medieval,4,High-altitude shared grazing systems with rotational management,Common-Pool Resource Governance,Christian/Animism,Gender-mixed,Dairy farming,Rotation,None (ongoing),Charters,0.4,0.3,0.4,0.5,0.5,0.5,0.4,0.3,low,none,3,3,ongoing,False,1,Auto-coded from governance type/characteristics — requires human review
Maluku Sasi Harvest Bans,1200,Present,Indonesia,-3.7,128.2,Medieval,4,Sacred seasonal prohibitions (sasi) on nutmeg/cloves; Village-enforced harvest bans,Ritual Resource Communism,Animism,Gender-balanced,Spice trade,Consensus,Dutch colonialism,Ethnography,0.4,0.3,0.4,0.5,0.6,0.5,0.5,0.35,high,ritual,3,3,ongoing,False,1,Auto-coded from governance type/characteristics — requires human review
Inuit Qaggiq Ice-Block Parliaments,1200,Present,Arctic,70,-100,Medieval,4,Seasonal ice-block meetings for conflict resolution; Snow-house assemblies for inter-band disputes,Cryo-Democracy,Animism,Egalitarian,Seal hunting,Consensus,None (ongoing),Ethnography,0.2,0.4,0.65,0.65,0.9,0.7,0.15,0.15,high,none,3,3,ongoing,True,1,Auto-coded from governance type/characteristics — requires human review
Cornish Stannary,1201,1838,England,50.2,-5.1,Medieval,3,Tin-mining districts with autonomous parliaments,Mineral Rights Autonomy,Celtic Christianity,Male tinners,Stannary charters,Stannary records,Industrialization,Parallels: Basque foral rights. Contrasts: Less powerful than Welsh,0.4,0.3,0.4,0.5,0.5,0.6,0.4,0.15,low,none,3,3,unknown,False,1,Auto-coded from governance type/characteristics — requires human review
Mongolian Kurultai,1206,1368,Mongolia,47.9,106.9,Medieval,4,Nomadic imperial council electing khans via consensus,Steppe Elective Monarchy,Tengrism,Male warriors,Herding,Acclamation,Disintegration,Secret History,0.75,0.45,0.3,0.2,0.25,0.3,0.4,0.3,high,none,3,3,unknown,True,1,Auto-coded from governance type/characteristics — requires human review
Delhi Sultanate Slave Kings,1206,1526,India,28.6,77.2,Medieval,4,Ex-military slaves ruling via Persian bureaucracy,Slave Dynasty,Sunni Islam,Male sultans,Spice trade,Appointment,Mughals,Amir Khusrau,0.7,0.85,0.4,0.15,0.15,0.25,0.5,0.3,low,military,3,3,unknown,False,1,Auto-coded from governance type/characteristics — requires human review
Magna Carta Baronage,1215,1297,England,51.8,-0.1,Medieval,5,Feudal contract limiting royal power via council,Feudal Constitutionalism,Catholicism,Male barons,Wool trade,Inheritance,Centralization,Matthew Paris,0.25,0.2,0.45,0.65,0.75,0.75,0.5,0.3,low,land,3,3,unknown,False,1,Auto-coded from governance type/characteristics — requires human review
Transylvanian Saxon Seats,1224,1876,Romania,45.8,24.9,Medieval,4,German immigrant towns with ethnic autonomy charters,Ethnic Corporatism,Lutheranism,Male burghers,Craft guilds,Appointment,Hungarian revolution,Andreanum,0.4,0.3,0.4,0.5,0.5,0.6,0.4,0.3,low,none,3,3,revolution,False,1,Auto-coded from governance type/characteristics — requires human review
Teutonic Ordensstaat,1226,1525,Poland,54,19,Medieval,5,Crusader-monk state ruling via brick castle networks,Military Theocracy,Catholicism,Male knights,Amber trade,Election,Polish secularization,Chronicles,0.65,0.5,0.35,0.25,0.35,0.3,0.5,0.3,low,military,3,3,unknown,False,1,Auto-coded from governance type/characteristics — requires human review
Mali Mansa Rule,1235,1670,Mali,12.6,-8,Medieval,4,Gold-rich empire with griot historians and royal pilgrims,Sacred Monarchy,Islam,Male rulers,Gold/salt,Hereditary,Civil war,Ibn Battuta,0.75,0.45,0.3,0.2,0.05,0.3,0.4,0.3,low,none,3,3,unknown,False,1,Auto-coded from governance type/characteristics — requires human review
Golden Horde Yam System,1240,1502,Russia/Kazakhstan,50,60,Medieval,5,Mounted postal network as de facto administration,Equestrian Bureaucracy,Islam/Tengrism,Male riders,Fur/tribute,Appointment,Disintegration,Rashid al-Din,0.7,0.85,0.4,0.15,0.15,0.15,0.4,0.3,low,tribute,3,3,unknown,False,1,Auto-coded from governance type/characteristics — requires human review
Lithuanian Pagan Kings,1250,1387,Lithuania/Ukraine,55,24,Medieval,3,Forest-based monarchy resisting Christianization,Sacred Kingship,Baltic polytheism,Male rulers,Amber/bees,Hereditary,Polish union,Teutonic chronicles,0.75,0.45,0.3,0.2,0.05,0.1,0.4,0.3,low,none,3,3,unknown,False,1,Auto-coded from governance type/characteristics — requires human review
Rhenish City Leagues,1250,1500,Germany,50.1,8.7,Medieval,4,Commercial federations with shared legal codes,Urban Confederacy,Catholicism,Male merchants,Wine trade,Treaties,Habsburg centralization,City charters,0.35,0.2,0.5,0.65,0.65,0.7,0.5,0.3,low,none,3,3,unknown,False,1,Auto-coded from governance type/characteristics — requires human review
Genoese Black Sea Colonies,1266,1475,Ukraine/Crimea,45,35,Medieval,4,Italian merchant oligarchies ruling Crimean ports,Plutocratic Colonialism,Catholicism,Male patricians,Grain/slaves,Appointment,Ottoman conquest,Genoese archives,0.5,0.45,0.55,0.4,0.35,0.45,0.7,0.3,low,coercion,3,3,conquest,False,1,Auto-coded from governance type/characteristics — requires human review
Yuan Semu Caste System,1271,1368,China,39.9,116.4,Medieval,4,Mongol-imposed ethnic hierarchy (Mongols > Semu > Han),Ethnocratic Feudalism,Lamaism,Male-dominated,Silk Road,Hereditary,Red Turban revolt,Yuan Shi,0.65,0.45,0.4,0.25,0.1,0.35,0.4,0.3,low,land,3,3,unknown,False,1,Auto-coded from governance type/characteristics — requires human review
Andorran Co-Principality,1278,Present,Andorra,42.5,1.5,Medieval,5,Unique diarchy with French president + Spanish bishop as co-rulers,Parliamentary Diarchy,Catholicism,Gender-neutral,Tourism/Banking,Election,None (ongoing),Paréage,0.4,0.3,0.4,0.5,0.6,0.6,0.4,0.3,low,none,3,3,ongoing,False,1,Auto-coded from governance type/characteristics — requires human review
Swiss Cantonal Militias,1291,1848,Switzerland,46.8,8.2,Early Modern,5,Direct democracy with rotating peasant-soldier leadership,Participatory Republic,Protestantism,Male citizens,Cheese/clockmaking,Rotation,French invasion,William Tell,0.2,0.4,0.65,0.65,0.8,0.8,0.4,0.3,low,none,3,3,conquest,False,1,Auto-coded from governance type/characteristics — requires human review
Majapahit Terracotta Bureaucracy,1293,1527,Indonesia,-7.5,112.5,Medieval,4,Thousands of terracotta officials administering Java,Ceramic Meritocracy,Hindu-Buddhist,Male administrators,Rice/indigo,Appointment,Islamic sultanates,Nagarakretagama,0.4,0.3,0.4,0.5,0.5,0.6,0.4,0.6,low,none,3,3,unknown,False,1,Auto-coded from governance type/characteristics — requires human review
Venetian Merchant Oligarchy,1297,1797,Italy,45.4,12.3,Medieval,5,Wealth-qualified patricians ruling via elaborate lotteries,Plutocratic Republic,Catholicism,Male elites,Spice trade,Sortition,Napoleon,Machiavelli,0.35,0.55,0.65,0.55,0.65,0.7,0.5,0.3,low,none,3,3,unknown,False,1,Auto-coded from governance type/characteristics — requires human review
Māori Umu Tī Earth Oven Parleys,1300,1840,New Zealand,-40.9,175,Medieval,3,Feast-based negotiations over sweet potato (kūmara) plots,Culinary Democracy,Polynesian religion,Male speakers,Kūmara farming,Oratory skill,British colonization,Oral history,0.2,0.4,0.65,0.65,0.8,0.7,0.4,0.15,low,none,3,3,unknown,False,1,Auto-coded from governance type/characteristics — requires human review
Māori Iwi River Federations,1300,1840,New Zealand,-40.9,175,Medieval,4,Tattooed warlords managing fortified pā villages,Riverine Stratocracy,Polynesian religion,Male warriors,Kūmara farming,Hereditary,Colonialism,James Cook,0.8,0.4,0.35,0.15,0.0,0.15,0.4,0.3,low,none,3,3,colonial disruption,False,1,Auto-coded from governance type/characteristics — requires human review
Buganda Clan-Based Monarchy,1300,1894,Uganda,0.3,32.6,Medieval,4,52 patrilineal clans (ssiga) each managing royal functions,Segmentary Monarchy,Ancestor worship,Male clan heads,Banana/iron,Hereditary,British protectorate,Speke records,0.75,0.45,0.3,0.2,0.05,0.3,0.4,0.3,low,clan,3,3,unknown,False,1,Auto-coded from governance type/characteristics — requires human review
Timbuktu Qadi Scholar-Judges,1327,1591,Mali,16.8,-3,Medieval,4,Islamic jurists ruling via Sankore University fatwas,Scholastic Theocracy,Sunni Islam,Male scholars,Book trade,Appointment,Moroccan invasion,Tarikh al-Sudan,0.65,0.5,0.35,0.25,0.25,0.3,0.5,0.6,low,none,3,3,conquest,False,1,Auto-coded from governance type/characteristics — requires human review
Wolof Garmi Anti-Corruption,1350,1890,Senegal,14.7,-17.4,Medieval,3,Royal slaves (jaami-buur) auditing noble administrations,Anti-Feudal Autocracy,Islam,Meritocratic,Gold/salt,Appointment,French colonialism,Arabic texts,0.65,0.45,0.4,0.25,0.25,0.35,0.4,0.3,low,land,3,3,colonial disruption,False,1,Auto-coded from governance type/characteristics — requires human review
Wolof Ceddo Slave Armies,1350,1890,Senegal,14.7,-17.4,Medieval,4,Non-Muslim warrior caste balancing Muslim clerics,Military Caste System,African traditional,Male soldiers,Peanuts/millet,Hereditary,French conquest,Arabic chronicles,0.4,0.3,0.4,0.5,0.35,0.6,0.4,0.3,low,military,3,3,conquest,False,1,Auto-coded from governance type/characteristics — requires human review
Ayutthaya Elephant Bureaucracy,1351,1767,Thailand,14.4,100.5,Early Modern,4,White elephant administrators ranking officials,Zoocratic Meritocracy,Theravada Buddhism,Male nobles,Rice/tin,Appointment,Burmese sack,Van Vliet journals,0.4,0.3,0.4,0.5,0.5,0.5,0.4,0.3,low,none,3,3,unknown,False,1,Auto-coded from governance type/characteristics — requires human review
Lan Xang Million Elephant Kings,1353,1707,Laos,17.9,102.6,Medieval,3,Buddhist kings mobilizing war-elephant militias,Pachyderm Feudalism,Theravada Buddhism,Male warriors,Teak/opium,Hereditary,Siamese invasion,Lao chronicles,0.65,0.45,0.4,0.25,0.1,0.35,0.4,0.8,low,land,3,3,conquest,False,1,Auto-coded from governance type/characteristics — requires human review
Hanseatic League,1356,1669,Northern Europe,54.3,10.1,Medieval,5,Merchant guild federation with extraterritorial trading posts,Commercial Confederation,Catholicism,Male merchants,Timber/amber,Election,Nation-states,Adam of Bremen,0.35,0.2,0.5,0.65,0.75,0.7,0.4,0.3,low,none,3,3,unknown,False,1,Auto-coded from governance type/characteristics — requires human review
Rhenish Hanseatic Cities,1356,1669,Germany,51.2,6.8,Medieval,5,Merchant oligarchies with shared trade laws,Urban Commercial League,Catholicism,Male merchants,Textiles,Election,Thirty Years' War,Hanseatic records,0.5,0.45,0.55,0.4,0.45,0.45,0.4,0.3,low,none,3,3,unknown,False,1,Auto-coded from governance type/characteristics — requires human review
Ragusan Aristocratic Republic,1358,1808,Croatia,42.6,18.1,Early Modern,4,Adriatic city-state ruled by patrician senate with slave galleys,Maritime Oligarchy,Catholicism,Male nobles,Salt trade,Sortition,Napoleon,Archives,0.5,0.45,0.55,0.4,0.35,0.45,0.5,0.3,low,coercion,3,3,unknown,False,1,Auto-coded from governance type/characteristics — requires human review
Ming Yellow Register Census,1368,1644,China,32.1,118.8,Early Modern,5,Population registers enforcing corvée labor quotas,Statistical Autocracy,Neo-Confucianism,Male heads,Rice/tax,Hereditary,Li Zicheng revolt,Ming Veritable Records,0.85,0.6,0.2,0.1,0.0,0.2,0.4,0.3,low,tribute,3,3,unknown,False,1,Auto-coded from governance type/characteristics — requires human review
Kongo Mbanza Council,1390,1568,Angola,-8.8,13.2,Early Modern,4,Spiral-planned capital with elected noble advisors,Sacred Urbanism,Syncretic Christianity,Male electors (female spies),Copper/ivory,Rotation,Portuguese interference,Portuguese logs,0.4,0.3,0.4,0.5,0.5,0.6,0.4,0.3,low,none,3,3,unknown,False,1,Auto-coded from governance type/characteristics — requires human review
Bamum Script Bureaucracy,1390,1918,Cameroon,5.7,10.9,Early Modern,4,Syllabic-writing administrators under king-scholars,Literate Autocracy,Bamum religion,Male scribes,Palm oil,Appointment,German colonization,Njoya's archives,0.85,0.6,0.2,0.1,0.1,0.2,0.75,0.6,low,none,3,3,unknown,False,1,Auto-coded from governance type/characteristics — requires human review
Joseon Confucian Bureaucracy,1392,1910,Korea,37.5,127,Early Modern,5,Meritocratic civil service under royal secretariats,Neo-Confucian State,Confucianism,Male yangban,Rice/silk,Exams,Japanese annexation,Sejong the Great,0.4,0.3,0.4,0.5,0.5,0.6,0.4,0.3,low,none,3,3,annexation,False,1,Auto-coded from governance type/characteristics — requires human review
Malacca Straits Mandala,1400,1511,Malaysia,2.2,102.3,Medieval,4,Hindu-Muslim port kingdom with rotating tribute alliances,Maritime Tributary,Syncretic Islam,Male merchants,Spice trade,Dynastic,Portuguese invasion,Sejarah Melayu,0.2,0.2,0.45,0.65,0.7,0.85,0.5,0.8,low,tribute,3,3,conquest,False,1,Auto-coded from governance type/characteristics — requires human review
Scottish Tacksmen,1400,1745,Scotland,57,-5,Early Modern,3,Clan-based leaseholders managing Highland estates,Gaelic Semi-Feudalism,Presbyterianism,Male tacksmen,Cattle/kelp,Hereditary,Clearances,Rob Roy,0.65,0.45,0.4,0.25,0.1,0.15,0.4,0.3,low,land,3,3,unknown,False,1,Auto-coded from governance type/characteristics — requires human review
Circassian Xabze Councils,1400,1864,Russia/Georgia,44,40,Early Modern,3,Oral law councils enforcing mountain customary law,Egalitarian Jurisprudence,Syncretic Islam,Gender-balanced,Horses/wine,Consensus,Russian conquest,Russian ethnography,0.25,0.2,0.45,0.65,0.85,0.65,0.4,0.3,low,none,3,3,conquest,False,1,Auto-coded from governance type/characteristics — requires human review
Akan Amanhene Gold States,1400,1900,Ghana,6.7,-1.6,Early Modern,4,Gold-trading kingdoms with sacred stool rituals,Sacred Commerce Monarchy,Ancestor worship,Male kings (female advisors),Gold/cocoa,Elective,British colonization,Portuguese records,0.75,0.45,0.3,0.2,0.2,0.3,0.4,0.3,low,ritual,3,3,unknown,False,1,Auto-coded from governance type/characteristics — requires human review
Jukun Aku Oracle Kings,1400,1900,Nigeria,8.9,9.8,Early Modern,3,Divine kings controlling Benue River floods,Hydraulic Theocracy,Jukun religion,Male priests,Yam/fishing,Hereditary,British conquest,Ethnography,0.65,0.5,0.35,0.25,0.1,0.2,0.2,0.3,low,none,3,3,conquest,False,1,Auto-coded from governance type/characteristics — requires human review
Kiribati Maneaba Councils,1400,Present,Kiribati,1.4,173,Early Modern,3,Communal meeting houses with coral slab seating,Coral Communalism,Animism,Gender-neutral,Fishing/coconut,Rotation,None (ongoing),Oral history,0.15,0.2,0.35,0.75,0.8,0.75,0.2,0.15,low,none,3,3,ongoing,False,1,Auto-coded from governance type/characteristics — requires human review
Vlax Rom Baro Systems,1400,Present,Romania,46,25,Early Modern,3,"Patriarchal clan alliances with elected ""big men""",Tribal Gerontocracy,Orthodox Christianity,Male-dominated,Metalwork/fortune-telling,Hereditary,None (ongoing),Ethnography,0.3,0.15,0.45,0.7,0.55,0.55,0.4,0.3,low,clan,3,3,ongoing,False,1,Auto-coded from governance type/characteristics — requires human review
Aztec Triple Alliance,1428,1521,Mesoamerica,19.4,-99.1,Medieval,5,Military confederacy with flower wars and sacrifice,Tributary Stratocracy,Aztec religion,Male warriors,Maize/chocolate,Elective,Cortés,Bernardino de Sahagún,0.8,0.75,0.75,0.2,0.2,0.2,0.85,0.7,low,land/tribute/ritual,5,4,conquest,FALSE,3,Near-maximum SAP case with partial E preservation via calpulli system. The combination of high S+A+P with ritual warfare as population control is distinctive.
Ryukyu Gusuku Trade Kingdom,1429,1879,Japan,26.2,127.7,Early Modern,4,Tribute state balancing China/Japan/S.E. Asia,Diplomatic Autonomy,Ryukyuan religion,Male nobles,Sulfur/tribute,Hereditary,Japanese annexation,Ming records,0.4,0.3,0.4,0.5,0.35,0.6,0.4,0.3,low,tribute,3,3,annexation,False,1,Auto-coded from governance type/characteristics — requires human review
Ryukyu Maritime Tributary,1429,1879,Japan,26,127,Early Modern,4,"Island kingdom balancing China, Japan, Siam",Diplomatic Autonomy,Ryukyuan animism,Male nobles,Sulfur/tribute,Hereditary,Japanese annexation,Ming records,0.4,0.3,0.4,0.5,0.35,0.6,0.4,0.3,low,land,3,3,annexation,False,1,Auto-coded from governance type/characteristics — requires human review
Inca Tawantinsuyu,1438,1533,Andes,-13.5,-71.9,Medieval,5,Socialist empire with state warehouses and labor taxes,Labor Autocracy,Inca religion,Dual-gender,Potato/maize,Hereditary,Spanish conquest,Garcilaso de la Vega,0.8,0.7,0.4,0.15,0.0,0.25,0.4,0.35,low,tribute,3,3,conquest,False,1,Auto-coded from governance type/characteristics — requires human review
Ottoman Millet System,1453,1922,Turkey,41,28.9,Early Modern,5,Religious autonomies under centralized Muslim rule,Confessional Autonomy,Sunni Islam,Male sultans,Silk/tax farming,Dynastic,Nationalism,Evliya Çelebi,0.4,0.3,0.4,0.5,0.35,0.6,0.4,0.3,low,tribute,3,3,unknown,False,1,Auto-coded from governance type/characteristics — requires human review
Pampas Querandí Nomadism,1500,1700,Argentina,-36,-60,Early Modern,2,Mobile hunter bands with shared grazing rights,Pastoral Egalitarianism,Animism,Gender-balanced,Guanaco herds,Consensus,European horses,Spanish records,0.1,0.05,0.3,0.9,1.0,0.75,0.4,0.3,medium,none,3,3,unknown,False,1,Auto-coded from governance type/characteristics — requires human review
Breton Parish Closes,1500,1800,France,48.2,-3.7,Early Modern,3,Village theocracies managing enclos paroissiaux (walled churchyards),Sacred Communalism,Catholicism,Gender-mixed,Fishing/Linen,Rotation,French Revolution,Local archives,0.65,0.5,0.35,0.25,0.25,0.3,0.2,0.3,low,none,3,3,revolution,False,1,Auto-coded from governance type/characteristics — requires human review
Sami Reindeer Herding Units,1500,Present,Scandinavia,68.3,19.5,Early Modern,4,Pastoral cooperatives managing Arctic grazing lands,Nomadic Commons,Sami animism,Gender-balanced,Reindeer,Consensus,None (ongoing),Oral tradition,0.35,0.1,0.5,0.85,0.8,0.7,0.4,0.15,high,land,3,3,ongoing,False,1,Auto-coded from governance type/characteristics — requires human review
Shilluk Divine Kingship,1500,Present,South Sudan,10,32,Early Modern,4,Sacred kings (reth) embodying river spirit Nyikang,Fluid Theocracy,Nyikang cult,Male priests,Fishing/cattle,Elective,Colonialism,Ethnography,0.65,0.5,0.35,0.25,0.25,0.3,0.2,0.3,low,none,3,3,ongoing,False,1,Auto-coded from governance type/characteristics — requires human review
Sinti Musical Guilds,1500,Present,Germany,51,10,Early Modern,3,Endogamous musician families with strict apprenticeship,Caste Corporatism,Protestantism,Gender-stratified,Entertainment,Apprenticeship,None (ongoing),Ethnography,0.4,0.3,0.4,0.5,0.5,0.4,0.4,0.3,low,none,3,3,ongoing,False,1,Auto-coded from governance type/characteristics — requires human review
