System,Region,Historical Epoch,Start,sovereignty_index,admin_index,disobedience_freedom,surplus_legibility,Latitude,abs_lat,seasonality,seas_ord,Economic Base,binding_mechanism,bind,Collapse Cause,ctype,Gender Roles,g_egal,norm_frac,coding_confidence
Satrapy System,Persian Empire,,-550,0.700,0.750,0.250,0.800,,,none,0.000,,land/tribute,material,,other,,0,0.933,3
Scottish Tacksmen,Scotland,Early Modern,1400,0.650,0.450,0.100,0.400,57.000,57.000,low,1.000,Cattle/kelp,land,material,Clearances,other,Male tacksmen,0,0.667,1
Scottish Traveller Peat Laws,Scotland,Modern,1800,0.400,0.300,0.500,0.400,57.000,57.000,low,1.000,Peat/flowers,none,none/voluntary,None (ongoing),ongoing,Male-dominated,0,1.000,1
Scythian Kurgan Diarchy,Ukraine/Kazakhstan,Iron Age,-700,0.750,0.450,0.200,0.700,48.000,48.000,low,1.000,Horse/grains,none,none/voluntary,Sarmatian invasion,conquest,Male co-rulers,0,0.667,1
Scythian Nomadic Confederacy,Eurasian Steppe,,-700,0.450,0.050,0.700,0.200,,,medium,2.000,,none,none/voluntary,,other,,0,1.000,2
Seljuk Iqta System,Persia,Medieval,1037,0.650,0.450,0.250,0.400,32.400,32.400,low,1.000,Wheat/silk,land,material,Mongols,conquest,Male ghazis,0,0.667,1
Sennar Funj Sultanate,Sudan,Early Modern,1504,0.400,0.300,0.500,0.400,13.600,13.600,low,1.000,Sorghum/slaves,military,coercive,Mahdist revolt,internal,Male cavalry,0,2.000,1
Shang Dynasty,China,,-1600,0.850,0.350,0.150,0.650,,,none,0.000,,land/ritual,material,,other,,0,0.857,3
Shang Dynasty Oracle Kings,China,Bronze Age,-1600,0.750,0.450,0.050,0.400,36.100,36.100,low,1.000,Bronze working,ritual,ritual,Zhou conquest,conquest,Male priests,0,1.333,1
Shilluk Divine Kingship,South Sudan,Early Modern,1500,0.650,0.500,0.250,0.200,10.000,10.000,low,1.000,Fishing/cattle,none,none/voluntary,Colonialism,other,Male priests,0,0.600,1
Siberian Yukaghir Moon Calendar,Russia,Medieval,1000,0.400,0.300,0.500,0.400,68.000,68.000,low,1.000,Elk/fish,none,none/voluntary,Russian conquest,conquest,Gender-neutral,1,1.167,1
Sikh Misldar Confederacy,Punjab,Early Modern,1716,0.200,0.400,0.900,0.500,31.100,31.100,low,1.000,Wheat/trade,military,coercive,Ranjit Singh's empire,other,Male misldars,0,0.750,1
Silla Bone-Rank System,Korea,Classical,57,0.800,0.400,0.000,0.400,35.800,35.800,low,1.000,Rice/iron,none,none/voluntary,Goryeo revolt,internal,Male nobles,0,0.750,1
Singapore Technocracy,East Asia,Modern,1965,0.800,0.900,0.200,0.900,,,,,,,mixed,,other,,0,1.056,2
Singaporean Technocracy,Singapore,Modern,1965,0.750,0.850,0.200,0.800,1.300,1.300,none,0.000,Global trade,law,mixed,None (ongoing),ongoing,Gender-neutral,1,1.059,2
Sinti Musical Guilds,Germany,Early Modern,1500,0.400,0.300,0.500,0.400,51.000,51.000,low,1.000,Entertainment,none,none/voluntary,None (ongoing),ongoing,Gender-stratified,0,1.000,1
Sogdian Merchant Caravanserais,Uzbekistan,Medieval,500,0.500,0.450,0.350,0.400,39.700,39.700,low,1.000,Silk/glass,none,none/voluntary,Arab conquest,conquest,Male traders,0,0.667,1
Sogdian Merchant-Republics,Uzbekistan,Medieval,500,0.200,0.400,0.800,0.400,39.000,39.000,low,1.000,Silk/glass,none,none/voluntary,Arab conquest,conquest,Male traders,0,0.750,1
Song Dynasty,East Asia,Medieval,960,0.550,0.900,0.150,0.850,,,,,,,mixed,,other,,0,1.000,2
Sorbian Serbski Sejm,Germany,Modern,1848,0.400,0.300,0.600,0.600,51.300,51.300,low,1.000,Lignite mining,none,none/voluntary,Nazi dissolution,internal,Gender-mixed,1,1.000,1
Soviet Republics System,Eurasia,Modern,1922,0.900,0.900,0.050,0.850,55.800,55.800,none,0.000,Heavy industry,land/coercion,material,Collapse,other,Male-dominated,0,0.944,2
Srivijayan Mandala,Indonesia,Medieval,650,0.400,0.400,0.350,0.500,-3.000,3.000,low,1.000,Spice trade,none,none/voluntary,Javanese invasion,conquest,Male sea-kings,0,1.500,1
Sumerian Temple States,Mesopotamia,Bronze Age,-3500,0.550,0.650,0.300,0.750,31.300,31.300,low,1.000,Barley farming,land/ritual,material,Akkadian conquest,conquest,Male priests,0,0.923,2
Swahili Waungwana Councils,Kenya,Medieval,1000,0.500,0.450,0.200,0.400,-4.100,4.100,low,1.000,Ivory/glass,none,none/voluntary,Portuguese invasion,conquest,Male elite,0,0.667,1
Swiss Cantonal Democracy,Switzerland,Early Modern,1291,0.200,0.500,0.850,0.600,46.800,46.800,low,1.000,Cheese/clockmaking,law/community,social,French invasion,conquest,Male citizens,0,1.300,3
Swiss Consensus Democracy,Switzerland,Modern,1848,0.150,0.650,0.900,0.650,46.800,46.800,none,0.000,Finance/tech,none,none/voluntary,None (ongoing),ongoing,Gender-neutral,1,1.231,2
Syracusan Mathematical Tyrants,Sicily,Classical,-400,0.500,0.800,0.200,0.700,37.100,37.100,low,1.000,Grain/engineering,none,none/voluntary,Roman siege,other,Male elites,0,0.375,1
Sámi Siida Councils,Scandinavia,Medieval,500,0.150,0.200,0.900,0.400,68.000,68.000,high,3.000,Reindeer fur,none,none/voluntary,State borders,other,Gender-balanced,1,0.750,1
Tahitian Arioi Cult Society,French Polynesia,Medieval,1000,0.500,0.450,0.350,0.400,-17.700,17.700,low,1.000,Breadfruit,ritual,ritual,Christianity,other,Gender-fluid,0,0.667,1
Tahitian Arioi Society,French Polynesia,Early Modern,1600,0.500,0.450,0.350,0.400,-17.700,17.700,low,1.000,Breadfruit,ritual,ritual,Christianity,other,Gender-fluid,0,0.667,1
Taino Cacique Matrilineage,Cuba,Medieval,800,0.550,0.250,0.250,0.400,21.500,21.500,low,1.000,Cassava/yucca,land,material,Spanish conquest,conquest,Gender-balanced,1,1.200,1
Taiping Heavenly Kingdom,China,Modern,1851,0.400,0.300,0.500,0.400,23.000,23.000,low,1.000,Rice/millet,none,none/voluntary,Qing suppression,other,Gender-equal,1,2.667,1
Tairona Gold-Shaman Councils,Colombia,Classical,200,0.650,0.500,0.250,0.400,11.300,11.300,low,1.000,Gold/coca,none,none/voluntary,Spanish conquest,conquest,Male shamans,0,0.600,1
Taiwanese Digital Democracy,Taiwan,Information Age,2016,0.200,0.400,0.900,0.400,25.000,25.000,low,1.000,Semiconductors,none,none/voluntary,None (ongoing),ongoing,Gender-neutral,1,0.750,1
Tang Dynasty,China,,618,0.850,0.900,0.100,0.900,,,none,0.000,,land/law/exam,material,,other,,0,1.000,3
Tang Dynasty Keju,China,Medieval,618,0.850,0.900,0.100,0.900,34.300,34.300,none,0.000,Tea/porcelain,land/exam,material,Huang Chao rebellion,other,Male scholars,0,1.000,2
Tang Fanzhen Clans,China,Medieval,618,0.700,0.850,0.000,0.400,34.300,34.300,low,1.000,Tea/porcelain,none,none/voluntary,Huang Chao revolt,internal,Male clans,0,0.353,1
Tanzanian Ujamaa Villages,Tanzania,Modern,1967,0.600,0.650,0.400,0.400,-6.300,6.300,low,1.000,Subsistence farming,none,none/voluntary,Structural adjustment,other,Gender-mixed,1,0.462,1
Taosi,Northern China,,-2300,0.450,0.300,0.550,0.500,,,low,1.000,,land,material,,other,,0,0.667,2
Teotihuacan,Mesoamerica,,100,0.300,0.500,0.650,0.650,,,low,1.000,,community/ritual,social,,other,,0,0.800,3
Teotihuacan Theocratic Oligarchy,Mexico,Classical,-200,0.650,0.500,0.250,0.500,19.700,19.700,low,1.000,Obsidian trade,clan,social,Internal collapse,internal,Gender-balanced,1,0.600,1
Teutonic Ordensstaat,Poland,Medieval,1226,0.750,0.650,0.150,0.600,54.000,54.000,none,0.000,Amber trade,military/ritual,coercive,Polish secularization,other,Male knights,0,0.846,2
Theatrocracy,Greek,,-430,0.300,0.300,0.650,0.500,,,medium,2.000,,performance,mixed,,other,,0,1.333,2
Theban Sacred Band Oligarchy,Greece,Classical,-378,0.400,0.300,0.550,0.750,38.300,38.300,low,1.000,Olive/oil,military,coercive,Macedonian conquest,conquest,Male warriors,0,1.000,1
Tibetan Ganden Phodrang,Tibet,Early Modern,1642,0.650,0.500,0.250,0.400,29.600,29.600,low,1.000,Yak herding,none,none/voluntary,Chinese annexation,other,Monastic elite,0,0.600,1
Timbuktu Qadi Scholar-Judges,Mali,Medieval,1327,0.650,0.500,0.250,0.500,16.800,16.800,low,1.000,Book trade,none,none/voluntary,Moroccan invasion,conquest,Male scholars,0,1.200,1
Timucua Waterborne Councils,USA,Medieval,1000,0.200,0.400,0.900,0.400,30.000,30.000,low,1.000,Fish/maize,none,none/voluntary,Spanish conquest,conquest,Gender-mixed,1,0.750,1
Tiv Segmentary Lineage System,Nigeria,,-500,0.050,0.050,0.900,0.200,,,low,1.000,,clan,social,,other,,0,1.000,3
Tlaxcala Republic,Mesoamerica,,1384,0.400,0.400,0.600,0.550,,,low,1.000,,clan/honour,social,,other,,0,0.750,2
Tlingit Potlatch Confederacy,Canada,Early Modern,1700,0.200,0.100,0.750,0.400,58.300,58.300,low,1.000,Salmon/cedar,clan,social,Canadian ban,other,Matrilineal,0,1.500,1
Tokelau Village Atoll Consensus,Tokelau,Modern,1948,0.200,0.400,0.800,0.200,-9.000,9.000,low,1.000,Fishing/coconut,none,none/voluntary,None (ongoing),ongoing,Gender-neutral,1,0.750,1
Tokugawa Shogunate,Japan,Early Modern,1603,0.800,0.800,0.150,0.750,35.700,35.700,none,0.000,Rice taxation,land/hostage/status,social,Meiji Restoration,other,Male shōguns,0,0.875,3
Toltec Warrior-Poet State,Mexico,Medieval,900,0.650,0.500,0.100,0.400,19.700,19.700,low,1.000,Obsidian/feathers,military,coercive,Drought,environmental,Male warriors,0,0.600,1
Toltec Warrior-Priest State,Mexico,Medieval,900,0.650,0.500,0.100,0.400,19.700,19.700,low,1.000,Obsidian/feathers,none,none/voluntary,Drought,environmental,Male elites,0,0.600,1
Tongan Maritime Empire,Polynesia,Medieval,950,0.750,0.250,0.300,0.550,-21.100,21.100,low,1.000,Yams/tribute,tribute/ritual,material,Christianization,other,Male chiefs (female advisors),0,0.400,2
Transylvanian Saxon Seats,Romania,Medieval,1224,0.400,0.300,0.500,0.400,45.800,45.800,low,1.000,Craft guilds,none,none/voluntary,Hungarian revolution,internal,Male burghers,0,1.000,1
Tswana Kgotla,Botswana,Early Modern,1700,0.200,0.200,0.800,0.400,-22.300,22.300,low,1.000,Cattle herding,none,none/voluntary,None (ongoing),ongoing,Male elders,0,0.750,1
Tupi Confederacies,Brazil,,-500,0.200,0.050,0.800,0.200,,,medium,2.000,,none,none/voluntary,,other,,0,1.000,2
Tuvan People's Republic,Tuva,Modern,1921,0.350,0.550,0.750,0.400,51.700,51.700,high,3.000,Yak/cattle,none,none/voluntary,Soviet annexation,other,Male herders,0,0.545,1
UN Trusteeship Councils,Global,Modern,1945,0.200,0.400,0.800,0.400,40.700,40.700,low,1.000,Resource extraction,none,none/voluntary,Obsolescence,other,Mixed,1,0.750,1
Ubaid Culture,Mesopotamia,,-6500,0.350,0.250,0.650,0.500,,,low,1.000,,land/temple,material,,other,,0,0.800,2
Ubuntu Councils,South Africa,Modern,1994,0.200,0.400,0.900,0.600,-29.000,29.000,low,1.000,Mining/tech,none,none/voluntary,None (ongoing),ongoing,Gender-balanced,1,0.750,1
United Arab Emirates Tribal Technocracy,UAE,Modern,1971,0.750,0.450,0.050,0.750,24.400,24.400,low,1.000,Oil/AI,none,none/voluntary,None (ongoing),ongoing,Male-dominated,0,0.667,1
United Nations Security Council,Global,Modern,1945,0.500,0.450,0.350,0.400,40.700,40.700,low,1.000,Member dues,none,none/voluntary,None (ongoing),ongoing,Male-dominated,0,0.667,1
United States Federal Republic,North America,Modern,1789,0.450,0.700,0.700,0.800,,,,,,,mixed,,other,,0,1.357,2
Urartian Hydraulic Kings,Armenia,Iron Age,-860,0.900,0.500,0.000,0.400,38.500,38.500,low,1.000,Wine/iron,none,none/voluntary,Median invasion,conquest,Male engineers,0,0.600,1
Utopian Socialist Colonies,USA,Modern,1820,0.400,0.300,0.600,0.400,40.000,40.000,low,1.000,Handicrafts,none,none/voluntary,Industrialization,other,Gender-equal,1,1.000,1
Vanuatu Nimangki Grade-taking,Vanuatu,Early Modern,1700,0.200,0.100,0.750,0.400,-16.000,16.000,low,1.000,Yams/pigs,none,none/voluntary,None (ongoing),ongoing,Male-dominated,0,3.000,1
Vedic Jana/Gana Sanghas,North India,,-1500,0.350,0.350,0.650,0.400,,,medium,2.000,,clan,social,,other,,0,0.429,2
Vedic Sabha Assemblies,India,Bronze Age,-1500,0.200,0.400,0.900,0.400,28.600,28.600,low,1.000,Cattle herding,none,none/voluntary,Urbanization,other,Male landowners,0,0.375,1
Venetian Arsenal Guilds,Italy,Medieval,1104,0.500,0.800,0.450,0.700,45.400,45.400,none,0.000,Naval production,trade/status,mixed,Napoleon,other,Male artisans,0,0.750,2
Venetian Merchant Oligarchy,Italy,Medieval,1297,0.300,0.750,0.550,0.750,45.400,45.400,none,0.000,Spice trade,trade/citizenship,social,Napoleon,other,Male elites,0,1.067,2
Venetian Republic,Italy,Medieval,697,0.350,0.700,0.600,0.750,45.400,45.400,none,0.000,Spice trade,trade/citizenship,social,Napoleon,other,Male patricians,0,1.071,2
Viking Law Speakers,Scandinavia,Medieval,800,0.250,0.100,0.750,0.300,61.000,61.000,medium,2.000,Fish/iron,honour,social,Christianization,other,Male lawspeakers,0,1.000,2
Visigothic Code Judges,Spain,Early Medieval,418,0.400,0.300,0.500,0.400,40.400,40.400,low,1.000,Sheep farming,none,none/voluntary,Muslim conquest,conquest,Male judges,0,1.000,1
Vlax Rom Baro Systems,Romania,Early Modern,1400,0.300,0.150,0.550,0.400,46.000,46.000,low,1.000,Metalwork/fortune-telling,clan,social,None (ongoing),ongoing,Male-dominated,0,2.000,1
Volga Bulgar Islamic Merchants,Russia,Medieval,900,0.650,0.500,0.250,0.400,55.000,55.000,low,1.000,Fur/honey,none,none/voluntary,Mongol invasion,conquest,Male elites,0,0.600,1
Wari Tinku Labor System,Peru,Medieval,600,0.800,0.700,0.150,0.400,-13.000,13.000,medium,2.000,Potato/llama,ritual,ritual,Drought,environmental,Gender-complementary,0,0.429,1
Weimar Coalition Governance,Germany,Modern,1919,0.200,0.400,0.900,0.750,52.500,52.500,low,1.000,Industrial,none,none/voluntary,Nazi takeover,other,Male politicians,0,0.750,1
Weimar Republic,Europe,Modern,1919,0.400,0.650,0.600,0.700,,,,,,,mixed,,other,,0,1.308,3
Welsh Cantrefi,Wales,Medieval,800,0.150,0.200,0.800,0.400,52.500,52.500,medium,2.000,Sheep/wool,clan,social,English conquest,conquest,Gender-mixed,1,1.500,1
Wolof Ceddo Slave Armies,Senegal,Medieval,1350,0.400,0.300,0.350,0.400,14.700,14.700,low,1.000,Peanuts/millet,military,coercive,French conquest,conquest,Male soldiers,0,1.000,1
Wolof Garmi Anti-Corruption,Senegal,Medieval,1350,0.650,0.450,0.250,0.400,14.700,14.700,low,1.000,Gold/salt,land,material,French colonialism,conquest,Meritocratic,0,0.667,1
Xia Dynasty Hydraulic Rule,China,Bronze Age,-2070,0.700,0.850,0.000,0.400,34.500,34.500,low,1.000,Millet farming,none,none/voluntary,Shang conquest,conquest,Male engineers,0,0.941,1
Xingu Tribal Aquatic Law,Brazil,Medieval,1000,0.400,0.300,0.600,0.400,-12.400,12.400,low,1.000,Fish/cassava,clan,social,None (ongoing),ongoing,Gender-neutral,1,1.000,1
Yenish Horse-Tribes,Switzerland,Modern,1800,0.300,0.150,0.800,0.400,47.000,47.000,high,3.000,Odd jobs,none,none/voluntary,None (ongoing),ongoing,Gender-mixed,1,2.000,1
Yolngu Aboriginal Kinship,Australia,Paleolithic,-10000,0.400,0.300,0.500,0.100,-12.700,12.700,low,1.000,Foraging,land,material,,other,Gender-restricted,0,0.500,1
Yoruba Ogboni Earth Justice,Nigeria,Medieval,1000,0.200,0.400,0.900,0.400,7.500,7.500,low,1.000,Kola nuts,none,none/voluntary,British conquest,conquest,Gender-restricted,0,0.750,1
Yuan Semu Caste System,China,Medieval,1271,0.650,0.450,0.100,0.400,39.900,39.900,low,1.000,Silk Road,land,material,Red Turban revolt,internal,Male-dominated,0,0.667,1
Yuezhi Nomad Diarchy,Kazakhstan,Classical,-300,0.400,0.300,0.500,0.500,45.000,45.000,low,1.000,Horse trade,military,coercive,Kushan consolidation,other,Male co-rulers,0,1.000,1
Yupik Bladder Festival Rule,Alaska,Medieval,1000,0.400,0.300,0.500,0.400,61.200,61.200,low,1.000,Whale/seal,ritual,ritual,Russian colonization,conquest,Gender-mixed,1,1.000,1
Zanzibar Clove Plantation Councils,Tanzania,Modern,1810,0.400,0.300,0.350,0.400,-6.100,6.100,low,1.000,Clove exports,land,material,Zanzibar Revolution,internal,Male patricians,0,1.000,1
Zapatista Caracoles,Mexico,Modern,1994,0.050,0.050,0.950,0.400,16.800,16.800,low,1.000,Coffee farming,none,none/voluntary,Mexican state,other,Gender-balanced,1,6.000,1
Zapotec Cocijo Cult,Mesoamerica,,-500,0.650,0.500,0.300,0.600,,,low,1.000,,ritual,ritual,,other,,0,0.900,2
Zapotec Glyph-Judge System,Mexico,Classical,-500,0.700,0.850,0.000,0.400,17.100,17.100,low,1.000,Corn/obsidian,none,none/voluntary,Mixtec conquest,conquest,Male scribes,0,0.353,1
Zhou Dynasty Mandate of Heaven,China,Iron Age,-1046,0.500,0.400,0.350,0.650,34.700,34.700,low,1.000,Millet/rice,land,material,Qin conquest,conquest,Male nobles,0,1.125,2
Zomia Highland Communities,Highland Southeast Asia,,500,0.050,0.050,0.900,0.050,,,high,3.000,,none,none/voluntary,,other,,0,1.000,3
Zulu Impi Regiments,Southern Africa,Modern,1816,0.300,0.150,0.700,0.400,-28.800,28.800,low,1.000,Cattle herding,none,none/voluntary,British invasion,conquest,Male cohorts,0,2.000,1
Zulu Monarchy,Southern Africa,,1816,0.900,0.300,0.100,0.500,,,none,0.000,,military,coercive,,other,,0,0.333,2
Åland Islands Neutrality,Finland/Sweden,Modern,1809,0.200,0.200,0.850,0.400,60.000,60.000,low,1.000,Shipping/tourism,none,none/voluntary,None (ongoing),ongoing,Gender-neutral,1,1.500,1
Çatalhöyük,Anatolia,,-7500,0.050,0.050,0.900,0.300,,,low,1.000,,community,social,,other,,0,1.000,3
